Price,Close,High,Low,Open,Volume,MA50,MA200,Daily_Return
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2020-01-02,72.33387756347656,72.39408555090253,71.0911838210517,71.34405442839761,135480400,,,
2020-01-03,71.63062286376953,72.38924180059009,71.40665098377971,71.56319023271006,146322800,,,-0.009722342053208655
2020-01-06,72.20140838623047,72.23994237629597,70.50354624985978,70.75401351048198,118387200,,,0.00796845678064928
2020-01-07,71.86183166503906,72.46631471524569,71.64267376172208,72.21103349810856,108872000,,,-0.004703186943042614
2020-01-08,73.0178451538086,73.31888511458335,71.56562867701548,71.56562867701548,132079200,,,0.016086613185117837
2020-01-09,74.56879425048828,74.76145686133366,73.74274246581768,73.99320238999518,170108400,,,0.02124068566269921
2020-01-10,74.73735809326172,75.30091119032697,74.23643098983341,74.80238740809561,140644800,,,0.0022605145284662065
2020-01-13,76.33409118652344,76.36058652225458,74.93485817482635,75.05287082554342,121532000,,,0.021364591069291228
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400,,,-0.013503294566399204
2020-01-15,74.9806137084961,75.98247543934815,74.54952248725758,75.10344034713454,121923600,,,-0.0042855443651459435
2020-01-16,75.91986846923828,76.03065646802948,75.16124922768141,75.52249718552835,108829200,,,0.012526634743131648
2020-01-17,76.7603759765625,76.76277929851412,75.86207008807327,76.16792404225187,137816400,,,0.011070982132493912
2020-01-21,76.24015045166016,76.83018415127219,76.10287451536945,76.38946504217743,110843200,,,-0.006777266503504187
2020-01-22,76.51231384277344,77.06381371935198,76.41838585398544,76.72423978617735,101832400,,,0.00356981707802162
2020-01-23,76.88078308105469,76.96025438766408,76.01860061750638,76.56529382668359,104472000,,,0.0048158161709555
2020-01-24,76.65921783447266,77.86819158420508,76.46895853504518,77.1264324079885,146537600,,,-0.002881932749676075
2020-01-27,74.40501403808594,75.08415437016195,73.4248264992336,74.67233390344245,161940000,,,-0.029405515214806055
2020-01-28,76.50989532470703,76.68088393464757,75.18531972883665,75.28406170066347,162234000,,,0.028289508628325244
2020-01-29,78.1114273071289,78.95674973344263,77.39856685210137,78.13792264122904,216229200,,,0.020932350980549463
2020-01-30,77.99822235107422,78.0512056603916,76.7651642610764,77.19625539826748,126743200,,,-0.0014492752207634352
2020-01-31,74.5398941040039,77.71164655303768,74.24607885109228,77.29019066933044,199588400,,,-0.04433855212115212
2020-02-03,74.335205078125,75.49842038984059,72.78424642943136,73.28517374937778,173788400,,,-0.002746033226091127
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400,,,0.033013372110208605
2020-02-05,77.41545104980469,78.21260439944355,76.81337103650588,77.91396771511286,118826800,,,0.008154658327208075
2020-02-06,78.32096099853516,78.32337167005116,77.12884718583062,77.6851684350144,105425600,,,0.011696759967825043
2020-02-07,77.2563705444336,78.06989925267796,76.76632167871378,77.82125391424971,117684000,,,-0.01359266332446396
2020-02-10,77.62328338623047,77.62328338623047,75.76448107418051,75.84414097834794,109348800,,,0.00474928914225714
2020-02-11,77.15496826171875,78.19059132825674,76.93770658748598,78.11817322586252,94323200,,,-0.0060331785011144
2020-02-12,78.98724365234375,78.99206907115294,77.60399867366895,77.60399867366895,113730400,,,0.02374798968758185
2020-02-13,78.42476654052734,78.75066279160559,78.0578358133656,78.26061390209061,94747600,,,-0.007121113306499338
2020-02-14,78.44406127929688,78.69270656111114,77.93711251400148,78.3933612458328,80113600,,,0.0002460286414696089
2020-02-18,77.0077133178711,77.1887659353896,75.94794846047884,76.12900107799734,152531200,,,-0.01831047421565446
2020-02-19,78.12300872802734,78.35234502696264,77.24912913343354,77.24912913343354,93984000,,,0.014482905180583039
2020-02-20,77.32154083251953,78.37164756799683,76.81700838375629,77.88401513292217,100566000,,,-0.010259050548065751
2020-02-21,75.57136535644531,77.35775721221363,74.95578935685651,76.91598466630131,129554000,,,-0.022635031030552644
2020-02-24,71.98167419433594,73.4300947985836,69.82111787989543,71.75958716056493,222195200,,,-0.04750067893014742
2020-02-25,69.54351043701172,73.03179362770307,69.07277807692655,72.65037937541128,230673600,,,-0.03387200679358571
2020-02-26,70.64673614501953,71.90927916190874,69.16210602316792,69.16934783382864,198054800,,,0.015863819658730627
2020-02-27,66.02869415283203,69.04141300899963,65.89350875868202,67.85853712666133,320605600,,,-0.06536808696594065
2020-02-28,65.99008178710938,67.20917433611869,61.88863715289679,62.10348988405487,426510000,,,-0.0005847816046957721
2020-03-02,72.1337890625,72.7686815326321,67.0425894386722,68.14338895911868,341397200,,,0.09310046463059152
2020-03-03,69.8428726196289,73.38667475068135,68.99312746023453,73.30701482551375,319475600,,,-0.031759269444256444
2020-03-04,73.08247375488281,73.24180090646557,70.76259027435336,71.561635057031,219178400,,,0.046384133609410405
2020-03-05,70.71192169189453,72.31242082695749,70.34740002247567,71.33956494467967,187572800,,,-0.03243666971289272
2020-03-06,69.77287292480469,70.20498737405435,67.889928042293,68.07580613740882,226176800,,,-0.013279921470405798
2020-03-09,64.25437927246094,67.1319051551366,63.48912685930832,63.670179502443226,286744800,,,-0.07909225206035475
2020-03-10,68.882080078125,69.14762542571471,65.0268655374001,66.90257561810807,285290000,,,0.07202156270222448
2020-03-11,66.48977661132812,67.8875051992336,65.62796418784407,66.96293286366341,255598800,,,-0.03473041847870395
2020-03-12,59.92359161376953,65.17894700154001,59.86806983845157,61.784814276675704,418474000,,,-0.09875480611014542
2020-03-13,67.1029281616211,67.57366791219874,61.06301183278901,63.94537376560975,370732000,73.7333903503418,,0.1198081816277825
2020-03-16,58.47035598754883,62.542829050103194,57.93685251654096,58.40758870653268,322423600,73.45611991882325,,-0.12864672840029034
2020-03-17,61.041297912597656,62.187961018540406,57.55060118117008,59.749787528944104,324056000,73.2443334197998,,0.04397000636692394
2020-03-18,59.5470085144043,60.350882714180244,57.2416040580175,57.88132562490314,300233600,72.99124542236328,,-0.024479974202595844
2020-03-19,59.09075164794922,61.03646337436918,58.56690646649194,59.72081496454535,271857200,72.73582382202149,,-0.0076621290949436816
2020-03-20,55.339332580566406,60.79263606329375,55.03999095282429,59.67010772190427,401693200,72.38225357055664,,-0.0634857226006027
2020-03-23,54.163700103759766,55.160697700443244,51.32479637531141,55.05930867623348,336752800,71.97415168762207,,-0.021244066778273507
2020-03-24,59.597694396972656,59.79323063321941,56.56083807077307,57.05812866753022,287531200,71.67135841369628,,0.10032538919614331
2020-03-25,59.2693977355957,62.342463745771624,58.9748851242831,60.531937209108364,303602000,71.33006454467774,,-0.0055085463405716295
2020-03-26,62.38833236694336,62.446266859922645,59.47217711965345,59.51080257065681,252087200,71.07176460266113,,0.052623018800720844
2020-03-27,59.80531311035156,61.76792134587147,59.638744081772344,61.0147434951052,204216800,70.76825859069824,,-0.04140228082070707
2020-03-30,61.512027740478516,61.68342585318123,60.206033868463194,60.529517371062305,167976400,70.48010177612305,,0.028537842899973853
2020-03-31,61.38648986816406,63.365997685508034,60.833677514674484,61.702731524008335,197002000,70.17262405395508,,-0.0020408670779656912
2020-04-01,58.15652084350586,60.04188167908633,57.726822887688364,59.50596558883749,176218400,69.81095146179199,,-0.05261693626064967
2020-04-02,59.126956939697266,59.18006600388776,57.188487147319506,58.018915768998035,165934000,69.46324432373046,,0.01668662571481483
2020-04-03,58.2772216796875,59.31284110700112,57.68819653151743,58.61277240805976,129880000,69.09117309570313,,-0.014371368052585543
2020-04-06,63.36117172241211,63.51566611882468,60.20120105165565,60.568131689303875,201820400,68.82521217346192,,0.08723734413194606
2020-04-07,62.6273078918457,65.58933353543772,62.52350615550967,65.3720644929947,202887200,68.58965805053711,,-0.011582232629495759
2020-04-08,64.230224609375,64.54404618126709,63.06183266990903,63.42634690897305,168895200,68.34406463623047,,0.02559453330322703
2020-04-09,64.6937484741211,65.1958720881954,63.89953593356979,64.86515033457846,161834800,68.07571105957031,,0.007216600402148332
2020-04-13,65.96351623535156,66.07215077341053,64.17229875609489,64.77098217772529,131022800,67.83501693725586,,0.019627364176283635
2020-04-14,69.29486083984375,69.58454794114515,67.12222968123038,67.59296937908287,194994800,67.73011627197266,,0.0505028354250594
2020-04-15,68.66240692138672,69.12107217268907,67.74507641878203,68.17235803124424,131154400,67.6166603088379,,-0.009126996010840882
2020-04-16,69.20793914794922,69.57246062788307,68.16024930910858,69.37450807804834,157125200,67.46503387451172,,0.007945136953720455
2020-04-17,68.26891326904297,69.27074378183441,66.83497575491855,68.72516946310567,215250000,67.28210311889649,,-0.013568181489971076
2020-04-20,66.85186004638672,67.9985265094596,66.83255101061553,67.09809629652644,130015200,67.05272109985351,,-0.020756932471910683
2020-04-21,64.78545379638672,66.92911797835283,64.07572694243713,66.69495629705587,180991600,66.80330276489258,,-0.03091022820556044
2020-04-22,66.65149688720703,67.08602016909022,65.71002486509416,66.05039726124157,116862400,66.5838670349121,,0.028803427026768524
2020-04-23,66.39319610595703,68.01542772017612,66.35457066668404,66.59597413685326,124814400,66.36863159179687,,-0.0038753935517324978
2020-04-24,68.30997467041016,68.31963287685757,66.86879493259592,66.91707859777999,126161200,66.15508621215821,,0.0288701053251621
2020-04-27,68.35824584960938,68.68896753125865,67.58092613126625,68.02751680090847,117087600,65.95375579833984,,0.0007066490572149586
2020-04-28,67.25019073486328,69.00036629064134,67.1584635837108,68.81931364694016,112004800,65.72987838745117,,-0.016209531139576905
2020-04-29,69.45906829833984,69.92739192441785,68.53207925404584,68.73485741682383,137280800,65.57890548706055,,0.03284566986858306
2020-04-30,70.92434692382812,71.10057413486881,69.60870223992275,69.99735834734561,183064000,65.43493225097656,,0.021095569828184724
